TSDone,DocNum,ItemCode,BatchNum,Project,QCScore,Itemcount,Temperature,Brix,PoundsPressure,Color,Discoloration,InsectPresenceFrass,Softness,Bruising,Decay,DehydrationShrivel,AbnormalSoftness,UnhealedCutsSplits,Undersized,Oversized,InsectDamage,Scarring,DocType
 01/23/2017,48758,MXT2,479252,SJD,81,150,52,0,0.00,0,0,0,26,0,0,0,0,0,0,0,0,0,IM
 01/23/2017,48758,HXF,479269,SJD,86,150,45,0,0.00,0,0,0,13,0,0,0,0,0,0,0,0,0,IM
 01/23/2017,48758,HXF,479270,SJD,85,150,45,0,0.00,0,0,0,11,0,0,0,0,0,0,0,0,7,IM
 01/23/2017,48761,CHW,479207,SJD,84,150,47,7,0.00,5,0,0,14,0,0,0,0,0,0,0,9,0,IM
 01/23/2017,48761,CHT,479209,SJD,86,150,49,6,0.00,5,0,0,11,0,0,0,0,0,0,0,0,0,IM
 01/23/2017,48761,CHT,479210,SJD,85,150,49,6,0.00,5,0,0,12,0,0,0,0,0,0,0,0,8,IM
 01/23/2017,48761,SUF,479213,SJD,75,150,46,8,0.00,5,0,0,18,0,0,4,0,0,0,0,12,0,IM
 01/23/2017,48761,CHT3,479157,SJD,85,150,49,6,0.00,4,0,0,14,0,0,0,0,0,0,0,0,0,IM
 01/23/2017,48761,CHT3,479135,SJD,86,150,49,7,0.00,4,0,0,12,0,0,0,0,0,0,0,0,0,IM
 01/23/2017,48761,CHT3,479212,SJD,83,150,49,7,0.00,5,0,0,16,0,0,0,0,0,0,0,8,0,IM
 01/23/2017,48761,CHW,479208,SJD,86,150,48,7,0.00,5,0,0,11,0,0,0,0,0,0,0,0,0,IM
 01/23/2017,48761,CHF,479206,SJD,84,150,48,7,0.00,5,0,0,9,0,0,0,0,0,0,0,16,0,IM
 01/23/2017,48761,CHF,479206,SJD,84,150,48,7,0.00,5,0,0,9,0,0,0,0,0,0,0,16,0,IM
 01/23/2017,48761,SUF,479224,SJD,77,150,47,8,0.00,6,0,0,33,0,0,0,0,0,0,0,15,0,IM
 01/23/2017,48761,SUF,479214,SJD,77,150,47,8,0.00,5,0,0,29,0,0,0,0,0,0,0,19,0,IM
 01/23/2017,48761,SUF,479215,SJD,65,150,47,8,0.00,6,0,0,37,0,0,4,0,2,0,0,17,0,IM
 01/23/2017,48761,SUF,479217,SJD,66,150,47,7,0.00,5,0,0,33,0,0,7,0,1,0,0,0,0,IM
 01/23/2017,48761,SUF,479219,SJD,71,150,47,7,0.00,5,0,0,28,0,0,6,0,0,0,0,0,0,IM
 01/23/2017,48761,SUF,479221,SJD,67,150,47,7,0.00,5,0,0,31,0,0,7,0,0,0,0,0,6,IM
 01/23/2017,48761,SUF,479220,SJD,73,150,47,8,0.00,5,0,0,24,0,0,4,0,0,0,0,13,0,IM
 01/23/2017,48761,SUF,479216,SJD,69,150,47,7,0.00,5,0,0,22,0,0,8,0,0,0,0,0,0,IM
 01/23/2017,48761,SUF,479218,SJD,66,150,47,8,0.00,5,0,0,28,0,0,9,0,0,0,0,0,0,IM
 01/23/2017,48761,SUF,479226,SJD,63,150,47,7,0.00,6,0,0,43,0,0,6,0,0,0,0,13,0,IM
 01/23/2017,48761,YPF,479228,SJD,85,150,50,8,0.00,0,0,0,6,0,0,0,0,0,0,0,16,0,IM
 01/23/2017,48761,RPF,479229,SJD,76,150,46,6,0.00,5,0,0,13,0,0,5,0,0,0,0,10,0,IM
 01/23/2017,48761,SUF,479222,SJD,67,150,47,6,0.00,5,0,0,28,0,0,8,0,0,0,0,0,0,IM
 01/23/2017,48761,SUF,479223,SJD,61,150,47,7,0.00,5,0,0,41,0,0,9,0,0,0,0,0,0,IM
 01/23/2017,48761,SUF,479225,SJD,70,150,47,7,0.00,5,0,0,25,0,0,7,0,0,0,0,0,0,IM
 01/23/2017,48761,SUF,479227,SJD,79,150,47,7,0.00,5,0,0,32,0,0,0,0,0,0,0,0,0,IM
 01/24/2017,280130,COF,479719,SON,70,150,49,0,0.00,5,60,0,0,0,0,0,0,0,0,0,0,0,PO
 01/24/2017,280130,HEX,479739,SON,83,7,48,0,0.00,0,1,0,0,0,0,0,0,0,0,0,0,0,PO
 01/24/2017,280130,SLT2,479729,SON,88,150,48,8,0.00,6,0,0,6,0,0,0,0,0,0,0,0,0,PO
 01/24/2017,280130,HEF,479715,SON,83,150,48,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,40,PO
 01/24/2017,280130,TOF,479716,SON,89,100,46,0,0.00,5,2,0,0,0,0,0,0,0,0,0,0,0,PO
 01/24/2017,280130,RPF,479735,SON,77,150,49,0,0.00,0,40,0,0,0,0,0,0,0,0,0,0,0,PO
 01/24/2017,280130,MXF,479736,SON,90,150,49,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,PO
 01/24/2017,280130,HXW,479740,SON,90,150,48,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,PO
 01/24/2017,280130,MXT2,479730,SON,86,150,52,0,0.00,0,0,0,11,0,0,0,0,0,0,0,0,0,PO
 01/24/2017,280130,HXF,479728,SON,90,150,53,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,PO
 01/24/2017,280130,HEF,479714,SON,85,150,46,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,33,PO
 01/24/2017,280130,CHT,479727,SON,80,150,50,6,0.00,0,31,0,0,0,0,0,0,0,0,0,0,0,PO
 01/24/2017,280130,CHF,479724,SON,75,150,50,6,0.00,0,45,0,0,0,0,0,0,0,0,0,0,0,PO
 01/24/2017,280130,CHT,479726,SON,85,150,48,6,0.00,5,0,0,11,0,0,0,0,0,0,0,0,7,PO
 01/24/2017,280130,COF,479718,SON,73,150,50,0,0.00,6,50,0,0,0,0,0,0,0,0,0,0,0,PO
 01/24/2017,280130,COF,479717,SON,71,150,46,6,0.00,5,57,0,0,0,0,0,0,0,0,0,0,0,PO
 01/24/2017,280130,HEF,479712,SON,68,150,50,0,0.00,0,30,0,0,0,0,0,0,0,0,0,0,75,PO
 01/24/2017,280130,CHF,479723,SON,86,150,48,7,0.00,5,0,0,9,0,0,0,0,0,0,0,0,7,PO
 01/24/2017,280130,CHF,479720,SON,83,150,47,0,0.00,0,20,0,0,0,0,0,0,0,0,0,0,0,PO
 01/24/2017,280130,MXT2,479731,SON,88,150,52,0,0.00,0,0,0,7,0,0,0,0,0,0,0,0,0,PO
 01/24/2017,280130,MXT2,479734,SON,87,150,52,0,0.00,0,0,0,8,0,0,0,0,0,0,0,0,0,PO
 01/24/2017,280130,MXW,479737,SON,87,150,48,0,0.00,0,0,0,8,0,0,0,0,0,0,0,0,0,PO
 01/24/2017,280130,MXW,479738,SON,89,150,46,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,6,PO
 01/24/2017,280130,MXT2,479732,SON,87,150,52,0,0.00,0,0,0,10,0,0,0,0,0,0,0,0,0,PO
 01/24/2017,280130,MXT2,479733,SON,88,150,48,0,0.00,0,0,0,6,0,0,0,0,0,0,0,0,0,PO
 01/24/2017,280130,HEF,479713,SON,84,150,46,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,36,PO
 01/24/2017,280130,CHF,479722,SON,83,150,48,0,0.00,0,20,0,0,0,0,0,0,0,0,0,0,0,PO
 01/24/2017,280130,CHF,479721,SON,86,150,48,7,0.00,0,0,0,9,0,0,0,0,0,0,0,0,6,PO
 01/24/2017,280130,CHT,479725,SON,85,150,48,7,0.00,5,0,0,12,0,0,0,0,0,0,0,0,5,PO
 01/24/2017,280130,HEF,479711,SON,84,150,46,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,37,PO
 01/24/2017,280129,HEF,479743,SON,68,150,48,0,0.00,0,18,0,0,0,0,0,0,0,0,0,0,95,PO
 01/24/2017,280129,MXT2,479752,SON,88,150,47,0,0.00,0,0,0,6,0,0,0,0,0,0,0,0,0,PO
 01/24/2017,280129,HEF,479742,SON,84,150,45,0,0.00,0,0,0,0,1,0,0,0,0,0,0,0,32,PO
 01/24/2017,280129,HEF,479741,SON,68,150,47,0,0.00,0,20,0,0,0,0,0,0,0,0,0,0,90,PO
 01/24/2017,280129,CHF,479765,SON,86,150,44,6,0.00,5,0,0,11,0,0,0,0,0,0,0,0,0,PO
 01/24/2017,280129,CHT,479748,SON,85,150,47,7,0.00,5,15,0,0,0,0,0,0,0,0,0,0,0,PO
 01/24/2017,280129,MPF,479755,SON,89,150,45,0,0.00,0,27,0,0,0,0,0,0,0,0,0,0,12,PO
 01/24/2017,280129,RUF,479759,SON,75,150,50,0,0.00,6,45,0,0,0,0,0,0,0,0,0,0,0,PO
 01/24/2017,280129,MMW,479754,SON,89,150,46,0,0.00,0,24,0,0,0,0,0,0,0,0,0,0,16,PO
 01/24/2017,280129,CHF,479761,SON,89,150,50,7,0.00,0,0,0,3,0,0,0,0,0,0,0,0,0,PO
