Crop Category,DateRecv,Entered,ID,EnteredBy,DocNum,CardCode,Ship to,Batch #,ItemCode,Description,ItmsGrpNam,WhsCode,Project,Quantity,Affected,Percent,$ Amt,PulpTemp,TruckTemp,Issue1,Issue2,Issue3,Notes,Status,Complaint Category 1,Complaint Category 2,Complaint Category 3,PRODUCTION ZONE,ZONE PACK,PACK ZONE,ZONE SHIP,ZONE AGING,RECEIVED @ WAREHOUSE,AGE @ JF RECEIVING,JF FACILITY (LAW/SSF),SHIP TO CUST,TOTAL AGING,DAYS TO COMPLAINT,AGE @ TIME OF COMPLAINT,PO #,INCOMING QUAL SCORE,RECEIVING TEMP,Color,QUALITY DEFECT,,CONDICTIONAL DEFECT 1,,CONDITIONAL DEFECT 2,,SERIOUS CONDITIONAL  DEFECT 1,,SERIOUS CONDITIONAL  DEFECT 2,,QC REP
VEGETABLES,1/3/17,01/05/2017,2552,63,520646,CSP,"2420 MODOC ST._x000D__x000D_LOS ANGELES, CA  90021",475428,SUG,SUGAR SNAP PEA 10LB,SNAP PEAS,LA1,BCN,36,1,2.78%,36.00,,,Other,,,Sorry but product is really bad,Rejected,SERIOUS CONDITIONAL,,,BCN,29-Dec-2016,BCNVEN,29-Dec-2016,1 ,30-Dec-2016,2 ,LA1,3-Jan-2017,6 ,1 ,7 ,48339 ,75,53,N/A,INSECT DAMAGE,100.00%,N/A,0.00%,N/A,0%,N/A,0.00%,N/A,0.00%,NG
TOMATO,1/4/17,01/05/2017,2553,63,520579,ALB,"3268 East Vernon Avenue_x000D__x000D_Vernon, CA  90058",475181,CHF,RED CHERRY 12 PINT FAIRTRADE,RED CHERRY,LA1,BCN,1,1,100.00%,24.50,,,Soft,Discoloration,Decay,,Rejected,SERIOUS CONDITIONAL,QUALITY,,BCN,28-Dec-2016,BCNVEN,28-Dec-2016,1 ,29-Dec-2016,2 ,LA1,3-Jan-2017,7 ,2 ,9 ,48314 ,80,50,N/A,SOFTNESS,16.67%,UNHEALED CUTS/SPLITS,0.67%,N/A,0%,N/A,0.00%,N/A,0.00%,NG
VEGETABLES,1/6/17,01/06/2017,2554,63,517961,WHO,"4250 E. Marginal Way_x000D__x000D_Seattle, WA  98134",475481,PCP2,PERSIAN CUCUMBER 12CT 1LB,PERSIAN CUC,LA1,DCN,30,21,70.00%,598.50,45,44,Mold,Decay,,,Rejected,SERIOUS CONDITIONAL,,,TERGR1,N/A,EXTERNAL VENDOR,N/A,N/A,29-Dec-2016,N/A,LA1,3-Jan-2017,6,4,10,277982,83,40,N/A,SCARRING,8.00%,DISCOLORATION,6.00%,N/A,0%,DECAY,0.67%,N/A,0.00%,NG
VEGETABLES,1/6/17,01/06/2017,2554,63,517961,WHO,"4250 E. Marginal Way_x000D__x000D_Seattle, WA  98134",475763,PCP2,PERSIAN CUCUMBER 12CT 1LB,PERSIAN CUC,LA1,DCN,30,4,13.33%,114.00,45,44,Mold,Decay,,,Rejected,SERIOUS CONDITIONAL,,,DELQU,N/A,EXTERNAL VENDOR,N/A,N/A,30-Dec-2016,N/A,LA1,3-Jan-2017,5,4,9,277740,63,47,N/A,SCARRING,17.33%,DISCOLORATION,14.67%,N/A,0%,DECAY,2.00%,DEHYDRATION/SHRIVEL,4.00%,NG
VEGETABLES,1/6/17,01/06/2017,2554,63,517961,WHO,"4250 E. Marginal Way_x000D__x000D_Seattle, WA  98134",475764,PCP2,PERSIAN CUCUMBER 12CT 1LB,PERSIAN CUC,LA1,DCN,30,5,16.67%,142.50,45,44,Mold,Decay,,,Rejected,SERIOUS CONDITIONAL,,,TERGR1,N/A,EXTERNAL VENDOR,N/A,N/A,29-Dec-2016,N/A,LA1,3-Jan-2017,6,4,10,277982,83,40,N/A,SCARRING,8.00%,DISCOLORATION,6.00%,N/A,0%,DECAY,0.67%,N/A,0.00%,NG
TOMATO,1/7/17,01/09/2017,2555,63,521587,DLJ,"2201 N LAKEWOOD BLVD_x000D_SUITE D #1881_x000D_LONG BEACH, CA  90815",475593,SUF,SUGAR PLUM GRAPE 12 PINT FAIRTRADE,GRAPE TOMATO,LA1,ZAR,120,120,100.00%,"1,140.00",,,Cracked / Split (Fruit),Soft,,,Rejected,SERIOUS CONDITIONAL,,,ZAR,31-Dec-2016,ZARVEN,31-Dec-2016,1 ,2-Jan-2017,3 ,LA1,6-Jan-2017,7 ,2 ,9 ,48368 ,80,49,N/A,INSECT DAMAGE,8.67%,SOFTNESS,11.33%,N/A,0%,DECAY,0.67%,N/A,0.00%,NG
TOMATO,1/9/17,01/12/2017,2556,63,520157,OGC,"1800-B PRAIRIE ROAD_x000D__x000D_EUGENE, OR  97402",475591,SUF,SUGAR PLUM GRAPE 12 PINT FAIRTRADE,GRAPE TOMATO,LA1,ZAR,60,60,100.00%,630.00,46,,Cracked / Split (Fruit),Mold,Decay,,Protected,CONDITIONAL,,,ZAR,31-Dec-2016,ZARVEN,31-Dec-2016,1 ,2-Jan-2017,3 ,LA1,5-Jan-2017,6 ,5 ,11 ,48368 ,80,40,N/A,SOFTNESS,9.33%,UNHEALED CUTS/SPLITS,2.00%,N/A,0%,N/A,0.00%,N/A,0.00%,NG
VEGETABLES,1/10/17,01/12/2017,2557,63,521144,LND,"1825 EL CAMINO REAL_x000D__x000D_BURLINGAME, CA  94010",476615,GBEB,GREEN BEAN 12 - 12OZ BAGS,GREEN BEAN,SF1,DCN,16,16,100.00%,288.00,,,Pitting,,,,Rejected,CONDITIONAL,,,VIDFR1,N/A,EXTERNAL VENDOR,N/A,N/A,6-Jan-2017,N/A,SF1,8-Jan-2017,3 ,5 ,8 ,278714 ,74,48,N/A,SCARRING,15.33%,DISCOLORATION,30.67%,N/A,0%,DECAY,2.67%,N/A,0.00%,NG
VEGETABLES,1/10/17,01/12/2017,2558,63,521151,GRW,"6400 BROADWAY_x000D_DENVER, CO  80221",475722,PBM,PERSIAN CUCUMBER MEDIUM 22LB,PERSIAN CUC,LA1,DCN,5,5,100.00%,140.00,,,Decay,,,,Protected,SERIOUS CONDITIONAL,,,TERGR1,N/A,EXTERNAL VENDOR,N/A,N/A,1-Jan-2017,N/A,LA1,4-Jan-2017,4 ,7 ,11 ,278125 ,66,49,N/A,SCARRING,5.33%,DISCOLORATION,4.00%,N/A,0%,SOFTNESS,17.33%,DECAY,4.67%,NG
TOMATO,1/10/17,01/12/2017,2558,63,521151,GRW,"6400 BROADWAY_x000D_DENVER, CO  80221",474762,TMO,TOMATILLO 10LB,TOMATILLO,LA1,SJD,5,5,100.00%,90.00,,,Decay,,,,Protected,SERIOUS CONDITIONAL,,,SJD,26-Dec-2016,SJDVEN,26-Dec-2016,1 ,28-Dec-2016,3 ,LA1,4-Jan-2017,10 ,7 ,17 ,48293 ,85,48,N/A,DEHYDRATION/SHRIVEL,2.00%,N/A,0.00%,N/A,0%,N/A,0.00%,N/A,0.00%,NG
