Crop Category,DateRecv,Entered,ID,EnteredBy,DocNum,CardCode,Ship to,Batch #,ItemCode,Description,ItmsGrpNam,WhsCode,Project,Quantity,Affected,Percent,$ Amt,PulpTemp,TruckTemp,Issue1,Issue2,Issue3,Notes,Status,Complaint Category 1,Complaint Category 2,Complaint Category 3,PRODUCTION ZONE,ZONE PACK,PACK ZONE,ZONE SHIP,ZONE AGING,RECEIVED @ WAREHOUSE,AGE @ JF RECEIVING,JF FACILITY (LAW/SSF),SHIP TO CUST,TOTAL AGING,DAYS TO COMPLAINT,AGE @ TIME OF COMPLAINT,PO #,INCOMING QUAL SCORE,RECEIVING TEMP,Color,QUALITY DEFECT,,CONDICTIONAL DEFECT 1,,CONDITIONAL DEFECT 2,,SERIOUS CONDITIONAL  DEFECT 1,,SERIOUS CONDITIONAL  DEFECT 2,,QC REP
HERBS,3/8/17,03/08/2017,2659,107,529534,KRGRAL,"2215 S WILMINGTON_x000D__x000D_COMPTON, CA  90220",486285,ore3k,oregano 3ct 2/3oz clamshells Kroger,oregano,LA1,JFM,40,40,100.00%,100.80,,,Discoloration,,,,Rejected,QUALITY,,,STO,27-Feb-2017,STOVEN,27-Feb-2017,1,2-Mar-2017,4,SF1,7-Mar-2017,9,2 ,11,49428 ,76,57,N/A,INSECT DAMAGE,23.33%,DISCOLORATION,8.67%,MECH DAMAGE,14%,YELLOWING,1%,N/A,0%,NG
VEGETABLES,3/9/17,03/10/2017,2660,63,528882,THO,5460 76 AVENUE SE_x000D_CALGARY AB T2C 4S3_x000D_CANADA,475100,GAS,GARLIC SUPER JUMBO 30LB,GARLIC,LA1,DCA,80,80,100.00%,"6,400.00",,,Incorrect Weight,,,Sprouting and underweight,Protected,QUALITY,,,PUEBL1,N/A,EXTERNAL VENDOR,N/A,N/A,29-Dec-2016,N/A,LA1,2-Mar-2017,65 ,8 ,73 ,277185 ,100,39,N/A,N/A,0%,N/A,0%,N/A,0%,N/A,0%,N/A,0%,NG
VEGETABLES,3/10/17,03/10/2017,2661,63,528941,J&J,"653 RICE ST._x000D__x000D_ST. PAUL, MN  55103",486398,GBN,GREEN BEAN 25LB,GREEN BEAN,LA1,DCN,15,15,100.00%,375.00,,,Discoloration,,,,Protected,QUALITY,,,VIDFR1,N/A,EXTERNAL VENDOR,N/A,N/A,2-Mar-2017,N/A,LA1,6-Mar-2017,4 ,5 ,9 ,283799 ,83,41,N/A,UNDERSIZED,16%,SOFTNESS,5.33%,N/A,0%,UNHEALED CUTS/SPLITS,2.67%,N/A,0%,NG
VEGETABLES,3/13/17,03/13/2017,2662,139,529778,ALB,"1101 Dexter St_x000D__x000D_Prescott, WI  54021",486835,SNO,SNOW PEA 10LB,SNOW PEAS,LA1,MUL,12,12,100.00%,264.00,35,,Other,,,17% russet,Protected,QUALITY,,,MUL,5-Mar-2017,MULVEN,5-Mar-2017,1 ,9-Mar-2017,5 ,LA1,8-Mar-2017,4 ,6 ,10 ,284109 ,82,44,N/A,SCARRING,13.33%,DISCOLORATION,28.67%,N/A,0%,N/A,0%,N/A,0%,NG
HERBS,3/14/17,03/14/2017,2663,68,528676,SYSSEA,"22820 54th AVENUE S._x000D__x000D_KENT, WA  98032",485806,chi4oz,chives 4oz bag,chives,SF1,JF,6,6,100.00%,28.80,42,,Yellowing Leaves,,,,Rejected,SERIOUS CONDITIONAL,,,FREVEN,27-Feb-2017,FREVEN,27-Feb-2017,1,27-Feb-2017,1,SF1,7-Mar-2017,9,8 ,17,49369 ,70,47,N/A,INSECT DAMAGE,2.67%,MECH.DAMAGE,22%,N/A,0%,WETNESS,2.67%,DEHYDRATION/WILT,4.67%,NG
TOMATO,3/14/17,03/14/2017,2664,63,529883,FTH,"570 FRONTAGE ROAD_x000D__x000D_BOLINGBROOK, IL  60440",487714,SUP,SUGAR PLUM GRAPE 12 PINT,GRAPE TOMATO,LA1,DCN,375,375,100.00%,"3,375.00",,,Decay,Shrivel (Fruit),,,Rejected,SERIOUS CONDITIONAL,CONDITIONAL,,VEGFR1,N/A,EXTERNAL VENDOR,N/A,N/A,9-Mar-2017,N/A,LA1,11-Mar-2017,3,4 ,7,289722 ,76,53,5,N/A,0%,SOFTNESS,19.5%,DISCOLORATION,8%,N/A,0%,N/A,0%,NG
TOMATO,3/14/17,03/14/2017,2664,63,529883,FTH,"570 FRONTAGE ROAD_x000D__x000D_BOLINGBROOK, IL  60440",487689,SUP,SUGAR PLUM GRAPE 12 PINT,GRAPE TOMATO,LA1,TOR,105,40,38.10%,360.00,,,Decay,Shrivel (Fruit),,,Rejected,SERIOUS CONDITIONAL,CONDITIONAL,,TOR,10-Mar-2017,TORVEN,10-Mar-2017,1 ,10-Mar-2017,1 ,LA1,11-Mar-2017,2 ,4 ,6 ,284286 ,75,50,6,N/A,0%,SOFTNESS,14%,N/A,0%,DEHYDRATION/SHRIVEL,3.33%,N/A,0%,NG
TOMATO,3/14/17,03/14/2017,2664,63,529883,FTH,"570 FRONTAGE ROAD_x000D__x000D_BOLINGBROOK, IL  60440",487690,SUP,SUGAR PLUM GRAPE 12 PINT,GRAPE TOMATO,LA1,TOR,105,65,61.90%,585.00,,,Decay,Shrivel (Fruit),,,Rejected,SERIOUS CONDITIONAL,CONDITIONAL,,TOR,10-Mar-2017,TORVEN,10-Mar-2017,1 ,10-Mar-2017,1 ,LA1,11-Mar-2017,2 ,4 ,6 ,284286 ,77,50,5,N/A,0%,SOFTNESS,12%,N/A,0%,DEHYDRATION/SHRIVEL,2.67%,N/A,0%,NG
HERBS,3/15/17,03/15/2017,2665,63,529247,TRANW,"WCD - LACEY WAREHOUSE_x000D_3707 HOGUM BAY ROAD_x000D_LACEY, WA  98516",486933,sag2t,sage 12ct 3/4oz clamshells TJ,sage,SF1,JFM,10,6,60.00%,70.80,,,Black Leaves,Other,,SIGNS OF SPOILAGE,Rejected,SERIOUS CONDITIONAL,,,STO,3/3/2017,STOVEN,3/3/2017,1,5-Mar-2017,3,SF1,9-Mar-2017,7,7 ,14,49482 ,76,48,N/A,INSECT DAMAGE,2%,DISCOLORATION,21.33%,MECH DAMAGE,5.33%,YELLOWING,1.33%,DISEASE/PRESENCE,0.67%,NG
HERBS,3/16/17,03/16/2017,2666,63,529679,CHCWOO,"2708 POTOMAC MILLS CIRCLE_x000D__x000D_WOODBRIDGE, VA  22192",487336,thy7,thyme lb bag,thyme,LA1,JFM,1,1,100.00%,5.80,,,Other,,,snail found,Rejected,QUALITY,,,OJAFA1,N/A,EXTERNAL VENDOR,N/A,N/A,8-Mar-2017,N/A,LA1,13-Mar-2017,6,4 ,10,284236 ,98,48,N/A,FLOWER,9.33%,N/A,0%,N/A,0%,N/A,0%,N/A,0%,NG
TOMATO,3/16/17,03/16/2017,2667,63,530328,KRG,"1500 Eastridge Ave_x000D__x000D_Riverside, CA  92507",488135,CHF,RED CHERRY 12 PINT FAIRTRADE,RED CHERRY,LA1,SJD,50,50,100.00%,675.00,51,,Shrivel (Fruit),Decay,,,Rejected,CONDITIONAL,SERIOUS CONDITIONAL,,SJD,13-Mar-2017,SJDVEN,13-Mar-2017,1 ,15-Mar-2017,3 ,LA1,15-Mar-2017,3 ,2 ,5 ,49645 ,62,51,Traslucent,INSECT DAMAGE,14.67%,SOFTNESS,28%,N/A,0%,DEHYDRATION/SHRIVEL,1.33%,ABNORMAL SOFTNESS,1.33%,NG
TOMATO,3/16/17,03/16/2017,2668,63,530008,CAT,"CINCINNATI, OH",487747,HXF,HEIRLOOM CHERRY MIX 12 PINT FAIRTRADE,MIXED CHERRY,LA1,SON,40,40,100.00%,660.00,,,Other,,,poor quality,Rejected,SERIOUS CONDITIONAL,,,SON,10-Mar-2017,SONVEN,10-Mar-2017,1 ,10-Mar-2017,1 ,LA1,13-Mar-2017,4 ,4 ,8 ,284652 ,86,47,Traslucent,SCARRING,4%,SOFTNESS,6.67%,N/A,0%,N/A,0%,N/A,0%,NG
HERBS,3/17/17,03/17/2017,2669,107,530760,KRGRAL,"1500 EASTRIDGE AVENUE_x000D__x000D_RIVERSIDE, CA  92507",487737,chi3k,chives 3ct 2/3oz clamshells Kroger,chives,LA1,JF,70,70,100.00%,176.40,51,,Color - Low,,,,Rejected,QUALITY,,,FREVEN,10-Mar-2017,FREVEN,10-Mar-2017,1,12-Mar-2017,3,LA1,15-Mar-2017,6,3 ,9,49596 ,76,55,N/A,INSECT DAMAGE,32.67%,DISCOLORATION,5.33%,N/A,0%,YELLOWING,1.33%,N/A,0%,NG
TOMATO,3/17/17,03/17/2017,2670,63,530326,OGC,"1800-B PRAIRIE ROAD_x000D__x000D_EUGENE, OR  97402",487797,SUF,SUGAR PLUM GRAPE 12 PINT FAIRTRADE,GRAPE TOMATO,LA1,SJD,116,116,100.00%,"1,798.00",,,Soft,,,,Protected,SERIOUS CONDITIONAL,,,SJD,10-Mar-2017,SJDVEN,10-Mar-2017,1 ,13-Mar-2017,4 ,LA1,13-Mar-2017,4 ,5 ,9 ,49610 ,67,53,5,INSECT DAMAGE,16%,SOFTNESS,18%,N/A,0%,DEHYDRATION/SHRIVEL,3.33%,N/A,0%,NG
TOMATO,3/17/17,03/17/2017,2671,63,529884,FTH,"570 FRONTAGE ROAD_x000D__x000D_BOLINGBROOK, IL  60440",487909,SUP,SUGAR PLUM GRAPE 12 PINT,GRAPE TOMATO,LA1,DCN,480,120,25.00%,"1,080.00",39,,Mold,Other,,maturity,Rejected,SERIOUS CONDITIONAL,QUALITY,,VEGFR1,N/A,EXTERNAL VENDOR,N/A,N/A,11-Mar-2007,N/A,LA1,14-Mar-2017,4,4,8,284896,78,48,5*6,INSECT DAMAGE,1.25%,SOFTNESS,9.17%,DISCOLORATION,1.75%,DEHYDRATION/SHRIVEL,1.33%,ABNORMAL SOFTNESS,0.67%,NG
TOMATO,3/17/17,03/17/2017,2671,63,529884,FTH,"570 FRONTAGE ROAD_x000D__x000D_BOLINGBROOK, IL  60440",488178,SUP,SUGAR PLUM GRAPE 12 PINT,GRAPE TOMATO,LA1,DCN,480,360,75.00%,"3,240.00",39,,Mold,Other,,maturity,Rejected,SERIOUS CONDITIONAL,QUALITY,,VEGFR1,N/A,EXTERNAL VENDOR,N/A,N/A,11-Mar-2007,N/A,LA1,14-Mar-2017,4,4,8,284896,78,48,5*6,INSECT DAMAGE,1.25%,SOFTNESS,9.17%,DISCOLORATION,1.75%,DEHYDRATION/SHRIVEL,1.33%,ABNORMAL SOFTNESS,0.67%,NG
TOMATO,3/17/17,03/20/2017,2672,63,530834,VFF,"1400 W. RICON STREET_x000D__x000D_CORONA, CA  92880",488137,CHF,RED CHERRY 12 PINT FAIRTRADE,RED CHERRY,LA1,SJD,360,120,33.33%,"1,980.00",,,Spotting,Soft,Shrivel (Fruit),,Protected,CONDITIONAL,SERIOUS CONDITIONAL,,SJD,13-Mar-2017,SJDVEN,13-Mar-2017,1 ,15-Mar-2017,3 ,LA1,17-Mar-2017,5 ,1 ,6 ,49645 ,73,51,6,INSECT DAMAGE,12%,SOFTNESS,17.33%,N/A,0%,DEHYDRATION/SHRIVEL,2%,N/A,0%,NG
TOMATO,3/17/17,03/20/2017,2672,63,530834,VFF,"1400 W. RICON STREET_x000D__x000D_CORONA, CA  92880",488349,CHF,RED CHERRY 12 PINT FAIRTRADE,RED CHERRY,LA1,SJD,360,120,33.33%,"1,980.00",,,Spotting,Soft,Shrivel (Fruit),,Protected,CONDITIONAL,SERIOUS CONDITIONAL,,SJD,14-Mar-2017,SJDVEN,14-Mar-2017,1 ,16-Mar-2017,3 ,LA1,17-Mar-2017,4 ,1 ,5 ,49663 ,84,56,6,N/A,0%,DISCOLORATION,6.67%,SOFTNESS,18.67%,DEHYDRATION/SHRIVEL,1.33%,N/A,0%,NG
TOMATO,3/17/17,03/20/2017,2672,63,530834,VFF,"1400 W. RICON STREET_x000D__x000D_CORONA, CA  92880",488358,CHF,RED CHERRY 12 PINT FAIRTRADE,RED CHERRY,LA1,SJD,360,120,33.33%,"1,980.00",,,Spotting,Soft,Shrivel (Fruit),,Protected,CONDITIONAL,SERIOUS CONDITIONAL,,SJD,14-Mar-2017,SJDVEN,14-Mar-2017,1 ,16-Mar-2017,3 ,LA1,17-Mar-2017,4 ,1 ,5 ,49663 ,71,54,6,INSECT DAMAGE,7.33%,SOFTNESS,24%,N/A,0%,DEHYDRATION/SHRIVEL,2%,N/A,0%,NG
TOMATO,3/20/17,03/20/2017,2673,63,530454,ALB,"200 EAGLE COURT_x000D__x000D_Bridgeport, NJ  08014",487818,CHF,RED CHERRY 12 PINT FAIRTRADE,RED CHERRY,LA1,SJD,20,20,100.00%,270.00,44,,Soft,Decay,Shrivel (Fruit),,Protected,SERIOUS CONDITIONAL,CONDITIONAL,,SJD,10-Mar-2017,SJDVEN,10-Mar-2017,1 ,13-Mar-2017,4 ,LA1,14-Mar-2017,5 ,7 ,12 ,49610 ,85,51,N/A,SCARRING,5.33%,SOFTNESS,7.33%,N/A,0%,N/A,0%,N/A,0%,NG
TOMATO,3/20/17,03/20/2017,2674,63,530418,SVF,"255 SW 42nd STREET_x000D_UNIT  ""H""_x000D_LOVELAND, CO  80537",487815,CHF,RED CHERRY 12 PINT FAIRTRADE,RED CHERRY,LA1,SJD,45,16,35.56%,216.00,,,Mold,Shrivel (Fruit),Cracked / Split (Fruit),,Protected,CONDITIONAL,SERIOUS CONDITIONAL,,SJD,10-Mar-2017,SJDVEN,10-Mar-2017,1 ,13-Mar-2017,4 ,LA1,14-Mar-2017,5 ,7 ,12 ,49610 ,76,51,6,INSECT DAMAGE,10.67%,SOFTNESS,8.67%,N/A,0%,DEHYDRATION/SHRIVEL,2%,N/A,0%,NG
TOMATO,3/20/17,03/20/2017,2674,63,530418,SVF,"255 SW 42nd STREET_x000D_UNIT  ""H""_x000D_LOVELAND, CO  80537",487818,CHF,RED CHERRY 12 PINT FAIRTRADE,RED CHERRY,LA1,SJD,45,29,64.44%,391.50,,,Mold,Shrivel (Fruit),Cracked / Split (Fruit),,Protected,CONDITIONAL,SERIOUS CONDITIONAL,,SJD,10-Mar-2017,SJDVEN,10-Mar-2017,1 ,13-Mar-2017,4 ,LA1,14-Mar-2017,5 ,7 ,12 ,49610 ,85,51,5*6,SCARRING,5.33%,SOFTNESS,7.33%,N/A,0%,N/A,0%,N/A,0%,NG
HERBS,3/21/17,03/21/2017,2675,63,530599,RIC,"2555 3RD STREET_x000D_SUITE 210_x000D_SACRAMENTO, CA  95818",488908,bas8,basil lb bulk,basil,SF1,JFM,100,100,100.00%,500.00,,,Black Leaves,,,,Protected,SERIOUS CONDITIONAL,,,ZIH,17-Mar-2017,ZIHVEN,17-Mar-2017,1 ,18-Mar-2017,2 ,SF1,20-Mar-2017,4 ,2 ,6 ,49698 ,15,53,N/A,INSECT DAMAGE,1.33%,DEHYDRATION/WILT,3.33%,MECH.DAMAGE,15.33%,WETNESS,4%,DISEASE PRESENCE,25.33%,NG
HERBS,3/23/17,03/23/2017,2676,68,530510,SYSSAC,"7062 PACIFIC AVENUE_x000D__x000D_PLEASANT GROVE, CA  95668",488530,bas7,basil lb bag,basil,SF1,JFM,24,24,100.00%,180.00,,,Black Leaves,,,,Rejected,SERIOUS CONDITIONAL,,,DOSOR1,N/A,EXTERNAL VENDOR,N/A,N/A,15-Mar-2017,N/A,SF1,16-Mar-2017,2,8 ,10,49657 ,86,53,N/A,INSECT DAMAGE,2.67%,DEHYDRATION/WILT,10%,MECH.DAMAGE,17.33%,N/A,0%,N/A,0%,NG
HERBS,3/23/17,03/23/2017,2677,68,529772,DOS,"815 S. KOHLER STREET_x000D_UNIT 4_x000D_LOS ANGELES, CA  90021",486056,sag8,sage lb bulk,sage,LA1,JF,200,30,15.00%,90.00,,,Decay,Black Leaves,,,Rejected,SERIOUS CONDITIONAL,,,PAJVEN,28-Feb-2017,PAJVEN,28-Feb-2017,1 ,3-Mar-2017,3 ,LA1,7-Mar-2017,8 ,17 ,25 ,49440 ,71,44 ,N/A,INSECT DAMAGE,10.67%,N/A,0%,N/A,0%,DEHYDRATION/WILT,13.33%,N/A,0%,NG
HERBS,3/23/17,03/23/2017,2678,68,531429,DOS,"815 S. KOHLER STREET_x000D_UNIT 4_x000D_LOS ANGELES, CA  90021",488893,dil8,dill lb bulk,dill,LA1,JF,400,39,9.75%,156.00,,,Yellowing Leaves,,,,Rejected,SERIOUS CONDITIONAL,,,MARVEN,17-Mar-2017,MARVEN,17-Mar-2017,1 ,18-Mar-2017,1 ,LA1,20-Mar-2017,4 ,4 ,8 ,49695 ,68,44 ,N/A,N/A,0%,DISCOLORATION,24%,INSECT PRESENCE/FRASS,6%,YELLOWING,6%,N/A,0%,NG
HERBS,3/23/17,03/23/2017,2679,107,531708,KRGRAL,"1500 EASTRIDGE AVENUE_x000D__x000D_RIVERSIDE, CA  92507",488888,chi3k,chives 3ct 2/3oz clamshells Kroger,chives,LA1,JF,70,70,100.00%,176.40,,,Discoloration,,,,Rejected,CONDITIONAL,,,WATVEN,17-Mar-2017,WATVEN,17-Mar-2017,,18-Mar-2017,,LA1,22-Mar-2017,6,2 ,8,49695 ,97,44,N/A,N/A,0%,INSECT PRESENCE/FRASS,4%,N/A,0%,N/A,0%,N/A,0%,NG
TOMATO,3/23/17,03/24/2017,2680,63,530253,WHO,"17900 E. 32nd Ave._x000D_suite #30_x000D_Aurora, CO  80011",489125,RPW,RED PEAR 12 HALF PINT WHOLETRADE,RED PEAR,LA1,SON,15,15,100.00%,337.50,,,Mold,,,,Protected,SERIOUS CONDITIONAL,,,SON,19-Mar-2017,SONVEN,19-Mar-2017,1 ,19-Mar-2017,1 ,LA1,20-Mar-2017,2 ,4 ,6 ,284917 ,66,50 ,6 Translucent,N/A,0%,SOFTNESS,14%,N/A,0%,DECAY,0.67%,DEHYDRATION/SHRIVEL,6%,NG
HERBS,3/24/17,03/24/2017,2681,63,530544,SYSSAC,"7062 PACIFIC AVENUE_x000D__x000D_PLEASANT GROVE, CA  95668",488766,bas7c,basil lb bag  conventional,basil cv,SF1,JFM,48,30,62.50%,225.00,,,Black Leaves,,,,Protected,SERIOUS CONDITIONAL,,,SIGLO,N/A,EXTERNAL VENDOR,N/A,N/A,16-Mar-2017,N/A,SF1,19-Mar-2017,4 ,6 ,10 ,49674 ,58,47 ,N/A,FLOWERS,7.33%,INSECT PRESENCE/SEVERE INSECT DAMAGE,10.33%,MECH.DAMAGE,22.33%,DECAY,3%,N/A,0%,NG
TOMATO,3/25/17,03/27/2017,2682,63,531040,CAI,"LAKELAND, FL",489019,MXT2,MIXED MEDLEY TJ 12CT 1LB,MIXED CHERRY,LA1,SJD,300,100,33.33%,"2,700.00",47,,Shrivel (Fruit),Decay,,,Protected,CONDITIONAL,SERIOUS CONDITIONAL,,SJD,18-Mar-2017,SJDVEN,18-Mar-2017,1 ,20-Mar-2017,3 ,LA1,21-Mar-2017,4 ,5 ,9 ,49724 ,76,57,Traslucent,N/A,0%,SOFTNESS,35.33%,N/A,0%,DEHYDRATION/SHRIVEL,2.67%,N/A,0%,NG
TOMATO,3/25/17,03/27/2017,2682,63,531040,CAI,"LAKELAND, FL",489020,MXT2,MIXED MEDLEY TJ 12CT 1LB,MIXED CHERRY,LA1,SJD,300,100,33.33%,"2,700.00",47,,Shrivel (Fruit),Decay,,,Protected,CONDITIONAL,SERIOUS CONDITIONAL,,SJD,18-Mar-2017,SJDVEN,18-Mar-2017,1 ,20-Mar-2017,3 ,LA1,21-Mar-2017,4 ,5 ,9 ,49724 ,78,57,Traslucent,N/A,0%,SOFTNESS,20.67%,N/A,0%,DEHYDRATION/SHRIVEL,3.33%,ABNORMAL SOFTNESS,1.33%,NG
TOMATO,3/25/17,03/27/2017,2682,63,531040,CAI,"LAKELAND, FL",489021,MXT2,MIXED MEDLEY TJ 12CT 1LB,MIXED CHERRY,LA1,SJD,300,100,33.33%,"2,700.00",47,,Shrivel (Fruit),Decay,,,Protected,CONDITIONAL,SERIOUS CONDITIONAL,,SJD,18-Mar-2017,SJDVEN,18-Mar-2017,1 ,20-Mar-2017,3 ,LA1,21-Mar-2017,4 ,5 ,9 ,49724 ,83,57,Traslucent,SCARRING,4.67%,SOFTNESS,16%,N/A,0%,DEHYDRATION/SHRIVEL,3.33%$,N/A,0%,NG
TOMATO,3/27/17,03/27/2017,2683,63,531568,ALB,"1101 Dexter St_x000D__x000D_Prescott, WI  54021",489350,HXF,HEIRLOOM CHERRY MIX 12 PINT FAIRTRADE,MIXED CHERRY,LA1,SON,36,20,55.56%,410.00,47,,Shrivel (Fruit),Mold,,,Rejected,CONDITIONAL,SERIOUS CONDITIONAL,,SON,21-Mar-2017,SONVEN,21-Mar-2017,1 ,21-Mar-2017,1 ,LA1,22-Mar-2017,2 ,6 ,8 ,285480 ,77,52,Traslucent,INSECT DAMAGE,9.33%,SOFTNESS,7.33%,N/A,0%,DEHYDRATION/SHRIVEL,2%,UNHEALED CUTS/SPLITS,0.67%,NG
TOMATO,3/27/17,03/27/2017,2683,63,531568,ALB,"1101 Dexter St_x000D__x000D_Prescott, WI  54021",489352,HXF,HEIRLOOM CHERRY MIX 12 PINT FAIRTRADE,MIXED CHERRY,LA1,SON,36,12,33.33%,246.00,47,,Shrivel (Fruit),Mold,,,Rejected,CONDITIONAL,SERIOUS CONDITIONAL,,SON,21-Mar-2017,SONVEN,21-Mar-2017,1 ,21-Mar-2017,1 ,LA1,22-Mar-2017,2 ,6 ,8 ,285480 ,85,52,Traslucent,N/A,0%,SOFTNESS,10%,N/A,0%,N/A,0%,N/A,0%,NG
TOMATO,3/27/17,03/27/2017,2683,63,531568,ALB,"1101 Dexter St_x000D__x000D_Prescott, WI  54021",489354,HXF,HEIRLOOM CHERRY MIX 12 PINT FAIRTRADE,MIXED CHERRY,LA1,SON,36,4,11.11%,82.00,47,,Shrivel (Fruit),Mold,,,Rejected,CONDITIONAL,SERIOUS CONDITIONAL,,SON,21-Mar-2017,SONVEN,21-Mar-2017,1 ,21-Mar-2017,1 ,LA1,22-Mar-2017,2 ,6 ,8 ,285480 ,73,52,Traslucent,N/A,0%,SOFTNESS,14%,N/A,0%,DEHYDRATION/SHRIVEL,4%,N/A,0%,NG
TOMATO,3/27/17,03/27/2017,2684,63,531108,OGCDC,"1800-B PRAIRIE ROAD_x000D__x000D_EUGENE, OR  97402",489350,HXF,HEIRLOOM CHERRY MIX 12 PINT FAIRTRADE,MIXED CHERRY,LA1,SON,60,60,100.00%,"1,110.00",,,Decay,Soft,,,Protected,SERIOUS CONDITIONAL,,,SON,21-Mar-2017,SONVEN,21-Mar-2017,1 ,21-Mar-2017,1 ,LA1,22-Mar-2017,2 ,6 ,8 ,285480 ,77,52,Traslucent,INSECT DAMAGE,9.33%,SOFTNESS,7.33%,N/A,0%,DEHYDRATION/SHRIVEL,2%,UNHEALED CUTS/SPLITS,0.67%,NG
VEGETABLES,3/27/17,03/27/2017,2685,63,531391,ALB,"1155 COMMERCE BLVD_x000D__x000D_SWEDESBORO, NJ  08085",488914,SUG,SUGAR SNAP PEA 10LB,SNAP PEAS,LA1,BCN,28,28,100.00%,952.00,38,,Soft,Other,,bruising,Protected,SERIOUS CONDITIONAL,,,BCN,17-Mar-2017,BCNVEN,17-Mar-2017,1 ,19-Mar-2017,3 ,LA1,21-Mar-2017,5 ,7 ,12 ,49707 ,75,49,N/A,INSECT DAMAGE,100%,N/A,0%,N/A,0%,N/A,0%,N/A,0%,NG
HERBS,3/28/17,03/28/2017,2686,68,532016,DOS,"815 S. KOHLER STREET_x000D_UNIT 4_x000D_LOS ANGELES, CA  90021",489675,dil8,dill lb bulk,dill,LA1,JF,600,42,7.00%,168.00,,,Yellowing Leaves,,,,Rejected,QUALITY,,,MARVEN,23-Mar-2017,MARVEN,23-Mar-2017,1 ,24-Mar-2017,1 ,LA1,24-Mar-2017,2 ,5 ,7 ,49792 ,76,48,N/A,N/A,0%,DISCOLORATION,6.67%,N/A,0%,DEHYDRATION/WILT,10%,N/A,0%,NG
HERBS,3/27/17,03/28/2017,2687,63,531114,TRANW,"WCD - LACEY WAREHOUSE_x000D_3707 HOGUM BAY ROAD_x000D_LACEY, WA  98516",488936,bas42ct,basil dz 4oz clamshells TJ conventional,basil cv,SF1,JFM,60,3,5.00%,53.25,,,Black Leaves,Mold,,,Rejected,SERIOUS CONDITIONAL,,,YUMOR1,N/A,EXTERNAL VENDOR,N/A,N/A,18-Mar-2017,N/A,SF1,22-Mar-2017,5,6 ,11,49717 ,83,58,N/A,N/A,0%,INSECT PRESENCE/SEVERE INSECT DAMAGE,16%,MECH.DAMAGE,13.33%,N/A,0%,N/A,0%,NG
HERBS,3/28/17,03/28/2017,2688,63,531643,RIC,"2555 3RD STREET_x000D_SUITE 210_x000D_SACRAMENTO, CA  95818",489672,spm8,spearmint lb bulk,spearmint,SF1,JF,150,150,100.00%,525.00,,,Insect Damage,,,,Protected,QUALITY,,,PESVEN,23-Mar-2017,PESVEN,23-Mar-2017,1 ,24-Mar-2017,1 ,LA1,27-Mar-2017,5 ,2 ,7 ,49792 ,66,53,N/A,INSECT DAMAGE,13.33%,INSECT PRESENCE/FRASS,16.67%,N/A,0%,DEHYDRATION/WILT,10%,N/A,0%,NG
VEGETABLES,3/28/17,03/28/2017,2689,63,531021,TFD,"5310 E. 25th STREET_x000D__x000D_INDIANAPOLIS, IN  46218",487373,PAF,PADRON PEPPER 12 PINT FAIRTRADE,PADRON,LA1,SJD,180,16,8.89%,280.80,,,Size,Discoloration,,,Protected,QUALITY,,,SJD,8-Mar-2017,SJDVEN,8-Mar-2017,1 ,10-Mar-2017,3 ,LA1,17-Mar-2017,10 ,12 ,22 ,49577 ,88,52,Traslucent,SCARRING,10%,DISCOLORATION,12%,N/A,0%,DEHYDRATION/SHRIVEL,1.33%,N/A,0%,NG
VEGETABLES,3/28/17,03/28/2017,2689,63,531021,TFD,"5310 E. 25th STREET_x000D__x000D_INDIANAPOLIS, IN  46218",487765,PAF,PADRON PEPPER 12 PINT FAIRTRADE,PADRON,LA1,SJD,180,47,26.11%,824.85,,,Size,Discoloration,,,Protected,QUALITY,,,SJD,10-Mar-2017,SJDVEN,10-Mar-2017,1 ,12-Mar-2017,3 ,LA1,17-Mar-2017,8 ,12 ,20 ,49597 ,77,52,N/A,UNDERSIZED,53.33%,DISCOLORATION,20%,N/A,0%,N/A,0%,N/A,0%,NG
VEGETABLES,3/28/17,03/28/2017,2689,63,531021,TFD,"5310 E. 25th STREET_x000D__x000D_INDIANAPOLIS, IN  46218",487767,PAF,PADRON PEPPER 12 PINT FAIRTRADE,PADRON,LA1,SJD,180,3,1.67%,52.65,,,Size,Discoloration,,,Protected,QUALITY,,,SJD,10-Mar-2017,SJDVEN,10-Mar-2017,1 ,12-Mar-2017,3 ,LA1,17-Mar-2017,8 ,12 ,20 ,49597 ,93,56,N/A,N/A,0%,DISCOLORATION,14.67%,N/A,0%,N/A,0%,N/A,0%,NG
VEGETABLES,3/28/17,03/28/2017,2689,63,531021,TFD,"5310 E. 25th STREET_x000D__x000D_INDIANAPOLIS, IN  46218",488011,PAF,PADRON PEPPER 12 PINT FAIRTRADE,PADRON,LA1,SJD,180,28,15.56%,491.40,,,Size,Discoloration,,,Protected,QUALITY,,,SJD,12-Mar-2017,SJDVEN,12-Mar-2017,1 ,14-Mar-2017,3 ,LA1,17-Mar-2017,6 ,12 ,18 ,49625 ,93,52,N/A,SCARRING,4%,DISCOLORATION,12.67%,N/A,0%,N/A,0%,N/A,0%,NG
